Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
South Asia,SAS,"Population, total",SP.POP.TOTL,1141312704,1406945493,1731683901,1754030304,1775545180,1797072648,1818931519,1840534093,1861598514,1882531620,1901911604,1919348000
South Asia,SAS,Population growth (annual %),SP.POP.GROW,2.25463037038433,1.96181826796038,1.34471127256852,1.29044353805538,1.22659659590465,1.21244270449937,1.21635989643084,1.18765185903627,1.14447328523353,1.12446941929608,1.02946393006668,0.916782670831225
South Asia,SAS,Surface area (sq. km),AG.SRF.TOTL.K2,5144770,5137847,5136164,5135334,5135334,5135334,5135681,5135270,5135270,5135270,5135270,..
South Asia,SAS,Population density (people per sq. km of land area),EN.POP.DNST,238.808166131466,294.794587680168,362.964397005458,367.648247612057,372.221549517518,376.732390149842,381.31481186049,385.846173600519,390.262041526979,394.650788659405,398.713576178377,..
South Asia,SAS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
South Asia,SAS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,49.8,..,18.9,17.9,16.6,15.8,12.8,10.4,10.5,13.1,10.9,..
South Asia,SAS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,425083461158.963,622461607525.205,2478061740334.07,2588769885236.72,2699849096829.95,2907018977270.79,3172894568122.16,3548953012430.25,3749640306965.57,3511491525963.55,3944703410511.65,4382474131193.88
South Asia,SAS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,372.451353313739,442.42055617801,1431.01274944178,1475.89803855334,1520.57470980826,1617.64132379738,1744.3727457461,1928.21911092426,2014.20460897809,1865.30281279607,2074.07294966567,2283.31398537101
South Asia,SAS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1425909259050.47,2923770772207.83,8251975423435.99,8664988079051.82,9148527386263.64,9841034225523.09,10514468007278.1,11455577179694.8,12132913420526.5,11693695802364.1,13177341571298.3,15016206688184.8
South Asia,SAS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1249.35896538524,2078.09811165714,4765.28968056508,4940.044684115,5152.5173728689,5476.14713098849,5780.57386847566,6224.050520587,6517.47051218719,6211.68626233437,6928.4721453849,7823.59774683111
South Asia,SAS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.5602424226893,62.8929661464142,68.121401503545,68.6382506953563,69.1437835147163,69.609572441708,69.9792893786272,70.2534786113924,70.4727549740685,69.7483309161325,67.5791290463818,..
South Asia,SAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.33188829731831,3.57222407623416,2.62133190589734,2.53000842799494,2.49836592473185,2.4751853554712,2.4061305272959,2.37934101117305,2.32011599715771,2.26709778262632,2.24093002461978,..
South Asia,SAS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,124.495359112334,102.673645604886,44.634328641007,43.9252777039614,34.4160296862726,32.4580036219224,32.0166099178136,31.0337517290316,29.694274326785,29.1475167442276,28.8952522409104,..
South Asia,SAS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,40.8342460612582,45.3389302865837,..,..,..,..,..,..,61.4438362701752,..,..,..
South Asia,SAS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,36.0616324101949,..,..,..,..,..,..,81.7547667624489,..,..,..
South Asia,SAS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,130.2,93.4,54.3,51.7,49.2,46.8,44.6,42.5,40.6,38.8,37.1,..
